Link,Title,Year,Rating
https://www.rottentomatoes.com/m/leave_no_trace,LEAVE NO TRACE,2018,100
https://www.rottentomatoes.com/m/his_house,HIS HOUSE,2020,100
https://www.rottentomatoes.com/m/how_to_train_your_dragon,HOW TO TRAIN YOUR DRAGON,2010,99
https://www.rottentomatoes.com/m/the_forty_year_old_version,THE FORTY-YEAR-OLD VERSION,2020,99
https://www.rottentomatoes.com/m/under_the_shadow,UNDER THE SHADOW,2016,99
https://www.rottentomatoes.com/m/ma_raineys_black_bottom,MA RAINEY'S BLACK BOTTOM,2020,97
https://www.rottentomatoes.com/m/dolemite_is_my_name,DOLEMITE IS MY NAME,2019,97
https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople,HUNT FOR THE WILDERPEOPLE,2016,97
https://www.rottentomatoes.com/m/mudbound,MUDBOUND,2017,97
https://www.rottentomatoes.com/m/chicken_run,CHICKEN RUN,2000,97
https://www.rottentomatoes.com/m/i_lost_my_body,I LOST MY BODY,2019,97
https://www.rottentomatoes.com/m/rocks,ROCKS,2019,97
https://www.rottentomatoes.com/m/roma_2018,ROMA,2018,96
https://www.rottentomatoes.com/m/atlantics,ATLANTICS,2019,96
https://www.rottentomatoes.com/m/psycho,PSYCHO,1960,96
https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail,MONTY PYTHON AND THE HOLY GRAIL,1975,96
https://www.rottentomatoes.com/m/monty_pythons_life_of_brian,LIFE OF BRIAN,1979,96
https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before,TO ALL THE BOYS I'VE LOVED BEFORE,2018,96
https://www.rottentomatoes.com/m/american_graffiti,AMERICAN GRAFFITI,1973,96
https://www.rottentomatoes.com/m/outside_in_2018,OUTSIDE IN,2017,96
https://www.rottentomatoes.com/m/the_irishman,THE IRISHMAN,2019,95
https://www.rottentomatoes.com/m/marriage_story_2019,MARRIAGE STORY,2019,95
https://www.rottentomatoes.com/m/it_follows,IT FOLLOWS,2014,95
https://www.rottentomatoes.com/m/klaus,KLAUS,2019,95
https://www.rottentomatoes.com/m/call_me_by_your_name,CALL ME BY YOUR NAME,2017,94
https://www.rottentomatoes.com/m/the_power_of_the_dog,THE POWER OF THE DOG,2021,94
https://www.rottentomatoes.com/m/carol,CAROL,2015,94
https://www.rottentomatoes.com/m/the_lost_daughter,THE LOST DAUGHTER,2021,94
https://www.rottentomatoes.com/m/emily_the_criminal,EMILY THE CRIMINAL,2022,95
https://www.rottentomatoes.com/m/groundhog_day,GROUNDHOG DAY,1993,94
https://www.rottentomatoes.com/m/the_sea_beast,THE SEA BEAST,2022,94
https://www.rottentomatoes.com/m/private_life_2018,PRIVATE LIFE,2018,94
https://www.rottentomatoes.com/m/enola_holmes_2,ENOLA HOLMES 2,2022,94
https://www.rottentomatoes.com/m/1002448-birds,THE BIRDS,1963,94
https://www.rottentomatoes.com/m/captain_phillips,CAPTAIN PHILLIPS,2013,93
https://www.rottentomatoes.com/m/spiderman_2,SPIDER-MAN 2,2004,93
https://www.rottentomatoes.com/m/the_meyerowitz_stories,THE MEYEROWITZ STORIES (NEW AND SELECTED),2017,93
https://www.rottentomatoes.com/m/hustle_2022,HUSTLE,2022,93
https://www.rottentomatoes.com/m/cam,CAM,2018,93
https://www.rottentomatoes.com/m/sand_storm,SAND STORM,2016,93
