Link,Title,Year,Ratings%
https://www.rottentomatoes.com/m/national_lampoons_animal_house,National Lampoon's Animal House,1978,91
https://www.rottentomatoes.com/m/the_willoughbys,The Willoughbys,2020,91
https://www.rottentomatoes.com/m/high_flying_bird,High Flying Bird,2019,91
https://www.rottentomatoes.com/m/apollo_10_1_2_a_space_age_childhood,Apollo 10 1/2: A Space Age Childhood,2022,91
https://www.rottentomatoes.com/m/terminator_2_judgment_day,Terminator 2: Judgment Day,1991,91
https://www.rottentomatoes.com/m/when_harry_met_sally,When Harry Met Sally...,1989,91
https://www.rottentomatoes.com/m/geralds_game,Gerald's Game,2017,91
https://www.rottentomatoes.com/m/the_white_tiger_2020,The White Tiger,2021,91
https://www.rottentomatoes.com/m/beasts_of_no_nation,Beasts of No Nation,2015,91
https://www.rottentomatoes.com/m/the_nice_guys,The Nice Guys,2016,91
https://www.rottentomatoes.com/m/lady_chatterleys_lover_2022,Lady Chatterley's Lover,2022,85
https://www.rottentomatoes.com/m/philomena,Philomena,2013,91
https://www.rottentomatoes.com/m/easy-a,Easy A,2010,85
https://www.rottentomatoes.com/m/la_la_land,La La Land,2016,91
https://www.rottentomatoes.com/m/vivo,Vivo,2021,86
https://www.rottentomatoes.com/m/phantom_thread,Phantom Thread,2017,91
https://www.rottentomatoes.com/m/munich_the_edge_of_war,Munich: The Edge of War,2021,86
https://www.rottentomatoes.com/m/happy_as_lazzaro,Happy as Lazzaro,2018,91
https://www.rottentomatoes.com/m/kung_fu_panda_3,Kung Fu Panda 3,2016,86
https://www.rottentomatoes.com/m/the_wonder_2022,The Wonder,2022,86
https://www.rottentomatoes.com/m/inside_man,Inside Man,2006,86
https://www.rottentomatoes.com/m/inception,Inception,2010,87
https://www.rottentomatoes.com/m/my_fathers_dragon_2022,My Father's Dragon,2022,87
https://www.rottentomatoes.com/m/fear_street_part_two_1978,Fear Street Part Two: 1978,2021,87
https://www.rottentomatoes.com/m/donnie_brasco,Donnie Brasco,1997,88
https://www.rottentomatoes.com/m/the_breaker_upperers,The Breaker Upperers,2018,88
https://www.rottentomatoes.com/m/rush_2013,Rush,2013,88
https://www.rottentomatoes.com/m/fear_street_part_three_1666,Fear Street Part Three: 1666,2021,88
https://www.rottentomatoes.com/m/paddleton,Paddleton,2019,89
https://www.rottentomatoes.com/m/oxygen_2021,Oxygen,2021,88
https://www.rottentomatoes.com/m/still_alice,Still Alice,2014,85
https://www.rottentomatoes.com/m/rango,Rango,2011,88
https://www.rottentomatoes.com/m/the_bad_guys_2022,The Bad Guys,2022,88
https://www.rottentomatoes.com/m/dope_2015,Dope,2015,88
https://www.rottentomatoes.com/m/i_dont_feel_at_home_in_this_world_anymore,I Don't Feel at Home in This World Anymore,2017,89
https://www.rottentomatoes.com/m/i_am_mother,I Am Mother,2019,89
https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs,The Ballad of Buster Scruggs,2018,89
https://www.rottentomatoes.com/m/zombieland,Zombieland,2009,89
https://www.rottentomatoes.com/m/reservoir_dogs,Reservoir Dogs,1992,90
https://www.rottentomatoes.com/m/always_be_my_maybe_2019,Always Be My Maybe,2019,89
https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7,The Trial of the Chicago 7,2020,89
https://www.rottentomatoes.com/m/on_body_and_soul,On Body and Soul,2017,90
https://www.rottentomatoes.com/m/the_kindergarten_teacher_2018,The Kindergarten Teacher,2018,90
https://www.rottentomatoes.com/m/1922_2017,1922,2017,92
https://www.rottentomatoes.com/m/uncorked_2020,Uncorked,2020,92
https://www.rottentomatoes.com/m/mindhorn,Mindhorn,2016,92
https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_2022,All Quiet on the Western Front,2022,90
https://www.rottentomatoes.com/m/the_two_popes,The Two Popes,2019,90
https://www.rottentomatoes.com/m/set_it_up,Set It Up,2018,92
https://www.rottentomatoes.com/m/1017776-rocky,Rocky,1976,92
https://www.rottentomatoes.com/m/roald_dahls_matilda_the_musical,Roald Dahl's Matilda the Musical,2022,92
https://www.rottentomatoes.com/m/we_the_animals,We the Animals,2018,92
https://www.rottentomatoes.com/m/the_little_prince_2016,The Little Prince,2015,92
https://www.rottentomatoes.com/m/el_camino_a_breaking_bad_movie,El Camino: A Breaking Bad Movie,2019,92
https://www.rottentomatoes.com/m/spiderman,Spider-Man,2002,90
https://www.rottentomatoes.com/m/da_5_bloods,Da 5 Bloods,2020,92
https://www.rottentomatoes.com/m/cam,Cam,2018,93
https://www.rottentomatoes.com/m/sand_storm,Sand Storm,2016,93
https://www.rottentomatoes.com/m/1103281-traffic,Traffic,2000,92
https://www.rottentomatoes.com/m/hustle_2022,Hustle,2022,93
https://www.rottentomatoes.com/m/glass_onion_a_knives_out_mystery,Glass Onion: A Knives Out Mystery,2022,92
https://www.rottentomatoes.com/m/skyfall,Skyfall,2012,92
https://www.rottentomatoes.com/m/american_hustle,American Hustle,2013,92
https://www.rottentomatoes.com/m/enola_holmes_2,Enola Holmes 2,2022,94
https://www.rottentomatoes.com/m/1002448-birds,The Birds,1963,94
https://www.rottentomatoes.com/m/captain_phillips,Captain Phillips,2013,93
https://www.rottentomatoes.com/m/the_sea_beast,The Sea Beast,2022,94
https://www.rottentomatoes.com/m/the_meyerowitz_stories,The Meyerowitz Stories (New and Selected),2017,93
https://www.rottentomatoes.com/m/groundhog_day,Groundhog Day,1993,94
https://www.rottentomatoes.com/m/private_life_2018,Private Life,2018,94
https://www.rottentomatoes.com/m/spiderman_2,Spider-Man 2,2004,93
https://www.rottentomatoes.com/m/carol,Carol,2015,94
https://www.rottentomatoes.com/m/call_me_by_your_name,Call Me by Your Name,2017,94
https://www.rottentomatoes.com/m/emily_the_criminal,Emily the Criminal,2022,95
https://www.rottentomatoes.com/m/marriage_story_2019,Marriage Story,2019,95
https://www.rottentomatoes.com/m/klaus,Klaus,2019,95
https://www.rottentomatoes.com/m/it_follows,It Follows,2014,95
https://www.rottentomatoes.com/m/the_lost_daughter,The Lost Daughter,2021,94
https://www.rottentomatoes.com/m/the_power_of_the_dog,The Power of the Dog,2021,94
https://www.rottentomatoes.com/m/the_irishman,The Irishman,2019,95
https://www.rottentomatoes.com/m/outside_in_2018,Outside In,2017,96
https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before,To All the Boys I've Loved Before,2018,96
https://www.rottentomatoes.com/m/american_graffiti,American Graffiti,1973,96
https://www.rottentomatoes.com/m/roma_2018,Roma,2018,96
https://www.rottentomatoes.com/m/chicken_run,Chicken Run,2000,97
https://www.rottentomatoes.com/m/i_lost_my_body,I Lost My Body,2019,97
https://www.rottentomatoes.com/m/rocks,Rocks,2019,97
https://www.rottentomatoes.com/m/psycho,Psycho,1960,96
https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail,Monty Python and the Holy Grail,1975,96
https://www.rottentomatoes.com/m/atlantics,Atlantics,2019,96
https://www.rottentomatoes.com/m/mudbound,Mudbound,2017,97
https://www.rottentomatoes.com/m/monty_pythons_life_of_brian,Life of Brian,1979,96
https://www.rottentomatoes.com/m/ma_raineys_black_bottom,Ma Rainey's Black Bottom,2020,97
https://www.rottentomatoes.com/m/the_forty_year_old_version,The Forty-Year-Old Version,2020,99
